id;code;name;create_date;create_by;last_modified_date;last_modified_by;image;detail_images;brand;product_details;description_document;video;catalog_id
1;Open-architected Savings;paradigms;2022-02-25T19:43:19;Pants redundant Intranet;2022-02-25T11:52:03;redundant e-services Self-enabling;Paradigm Corporate;static Sri UIC-Franc;hacking convergence visualize;Awesome;Robust Tanzanian deposit;ability Facilitator;97748
2;Green synergize Account;Metrics frame;2022-02-25T04:03:27;feed Solutions array;2022-02-25T18:21:00;hacking;integrated;modular Shoes;Outdoors;panel Loan;24/7;alarm Liaison;26995
3;Shoes architect;Ball encompassing;2022-02-25T09:41:00;Soft lavender well-modulated;2022-02-25T15:02:46;Dynamic whiteboard Bedfordshire;generating Incredible Intelligent;e-commerce Operations ADP;Cheese IB;Identity;West;contextually-based Shirt bi-directional;72517
4;whiteboard Outdoors North;Checking HDD;2022-02-25T10:11:22;copying Tasty Industrial;2022-02-25T18:16:33;Branding hacking back-end;Towels;Intelligent interactive sensor;Toys Georgia Pound;violet compelling toolset;Executive XSS Licensed;distributed web-enabled;91488
5;transmitter;program Accountability Concrete;2022-02-25T03:10:30;Licensed Luxembourg;2022-02-25T16:01:36;Inlet Customer;iterate programming;Rand Communications cross-platform;Chicken Algeria;Mozambique;Hat redefine Persevering;hack index;85559
6;Internal;magnetic Account;2022-02-25T14:08:29;Functionality withdrawal;2022-02-25T18:04:50;Sweden Senior Pants;quantifying extend ROI;Tanzania;Korea Salad Intranet;Koruna;Devolved;policy;41788
7;back-end Manors Rubber;Tuna;2022-02-25T17:58:04;Bedfordshire;2022-02-25T03:01:02;Branding;pixel eyeballs Rhode;generation Credit Manager;instruction;auxiliary Bacon;Devolved Public-key;Fresh;72183
8;whiteboard;Isle Direct (Keeling);2022-02-25T11:06:29;Maryland Island Metal;2022-02-25T11:03:22;Account Coordinator;Mozambique ADP;Grove Rubber;Forward;blockchains;Account;Kansas Future blue;74463
9;invoice;Handmade;2022-02-25T11:54:17;Health;2022-02-25T18:17:41;Lats;Cambridgeshire 24/365;Uzbekistan content;compressing;hacking;Fresh pixel capacity;Hat;59521
10;haptic Cambridgeshire intangible;firewall;2022-02-25T13:50:58;toolset invoice;2022-02-26T00:53:33;Loan optical Implemented;cross-platform;compelling Supervisor;Solutions Central;Senior UIC-Franc;driver synthesizing Kids;connect;55492
